robot_type,number_of_bases,number_of_robots,number_of_matters,number_of_dropped_matters_in_base,cycle
non_cognitive,1,5,5,5,56915
non_cognitive,1,5,5,5,22653
non_cognitive,1,5,5,5,27987
non_cognitive,1,5,5,5,12373
non_cognitive,1,5,5,5,15405
non_cognitive,1,5,10,10,20613
non_cognitive,1,5,10,10,13568
non_cognitive,1,5,10,10,23602
non_cognitive,1,5,10,10,21307
non_cognitive,1,5,10,10,27174
non_cognitive,1,10,10,10,2605
non_cognitive,1,10,10,10,15458
non_cognitive,1,10,10,10,19114
non_cognitive,1,10,10,10,19571
non_cognitive,1,10,10,10,5379
non_cognitive,1,10,15,15,14811
non_cognitive,1,10,15,15,8417
non_cognitive,1,10,15,15,20378
non_cognitive,1,10,15,15,21379
non_cognitive,1,10,15,15,24095
non_cognitive,1,20,20,20,6065
non_cognitive,1,20,20,20,2281
non_cognitive,1,20,20,20,6494
non_cognitive,1,20,20,20,13158
non_cognitive,1,20,20,20,15581
non_cognitive,1,20,40,40,9754
non_cognitive,1,20,40,40,8767
non_cognitive,1,20,40,40,9720
non_cognitive,1,20,40,40,8863
non_cognitive,1,20,40,40,10895
non_cognitive,1,25,5,5,192
non_cognitive,1,25,5,5,689
non_cognitive,1,25,5,5,1089
non_cognitive,1,25,5,5,5720
non_cognitive,1,25,5,5,529
non_cognitive,1,25,100,100,19080
non_cognitive,1,25,100,100,9263
non_cognitive,1,25,100,100,11536
non_cognitive,1,25,100,100,6134
non_cognitive,1,25,100,100,20373
non_cognitive,1,50,100,100,3434
non_cognitive,1,50,100,100,4583
non_cognitive,1,50,100,100,5136
non_cognitive,1,50,100,100,4383
non_cognitive,1,50,100,100,5737
non_cognitive,1,50,200,200,16413
non_cognitive,1,50,200,200,5793
non_cognitive,1,50,200,200,4448
non_cognitive,1,50,200,200,9195
non_cognitive,1,50,200,200,6793
non_cognitive,1,5,5,5,6817
non_cognitive,1,5,5,5,81835
non_cognitive,1,5,5,5,141948
non_cognitive,1,5,5,5,46715
non_cognitive,1,5,5,5,107005
non_cognitive,1,5,5,5,101813
